M,gamma,Q,index,xi,comparison_kind,theta_deg,beta_closed_deg,beta_numeric_deg,beta_abs_error_deg,theta_back_error_deg,original_ratio_rel_residual,raw_radical_rel_residual,cubic_rel_residual,u,u_minus_u_cj,R,D,D_minus_R2,real_root_count,accepted_root_count
5.0,1.2,10.0,13,0.65,same-theta Brent root,29.874984601451885,49.49715244262288,49.497152442622856,1.90833280887811e-14,1.90833280887811e-14,1.0818989897372053e-15,1.0818989897372053e-15,2.0810218135196917e-16,14.454203619054802,5.229272175329022,8.661299083658603,75.01810181658546,9.947598300641403e-14,3,2
5.0,1.2,10.0,14,0.7000000000000001,same-theta Brent root,31.1769286394152,51.0916293959025,51.09162939590242,7.63333123551244e-14,1.2722218725854067e-14,5.194328180423759e-16,5.194328180423759e-16,4.04882036774382e-17,15.137989963333457,5.913058519607677,9.42713285180276,88.8708338055389,5.684341886080802e-14,3,2
5.0,1.2,10.0,15,0.75,same-theta Brent root,32.47887267737851,52.80017618518012,52.80017618518011,6.3611093629270335e-15,0.0,0.0,0.0,5.834618264327817e-17,15.86157180102615,6.6366403573003705,10.224877661347863,104.54812318953056,1.4210854715202004e-14,3,2
5.0,1.2,10.0,16,0.8,same-theta Brent root,33.78081671534183,54.650541314020536,54.650541314020536,6.3611093629270335e-15,1.2722218725854067e-14,7.205963257447478e-16,7.205963257447478e-16,1.2929922227271534e-16,16.63165282716585,7.406721383440072,11.062690271500832,122.38311604315925,8.526512829121202e-14,3,2
5.0,1.2,10.0,17,0.8500000000000001,same-theta Brent root,35.08276075330515,56.69191650155012,56.691916501550104,1.2722218725854067e-14,6.3611093629270335e-15,2.3117288244668714e-16,2.3117288244668714e-16,1.9813684926307838e-17,17.4611114307421,8.236179987016321,11.954916940037663,142.92003904319952,5.684341886080802e-14,3,2
5.0,1.2,10.0,18,0.9,same-theta Brent root,36.38470479126846,59.0233035697524,59.02330356975238,2.5444437451708134e-14,6.3611093629270335e-15,3.335443708802436e-16,3.335443708802436e-16,5.2545658920444144e-17,18.377370492134656,9.152439048408876,12.930801274937476,167.20562161192476,8.526512829121202e-14,3,2
5.0,1.2,10.0,19,0.9500000000000001,same-theta Brent root,37.68664882923178,61.905272845190154,61.905272845190154,0.0,6.3611093629270335e-15,4.265427469667095e-16,4.265427469667095e-16,9.90858695488086e-18,19.455606932511355,10.230675488785575,14.06893657704606,197.93497640894458,8.526512829121202e-14,3,2
5.0,1.2,10.0,20,1.0,detachment endpoint,38.988592867195095,68.11993641609574,68.11993641879728,2.7015377019976596e-09,0.0,0.0,0.0,1.819571844685584e-17,21.52802155211236,12.30309010838658,16.233530447661888,263.5275107951656,0.0,2,1
5.0,1.3,2.0,0,0.0,CJ endpoint,6.989967998058091,23.151039203186624,23.151039203186624,0.0,0.0,0.0,3.0097262559103397e-16,4.024065408426142e-17,3.8642976879473485,0.0,8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002513e-15,1,1
5.0,1.3,2.0,1,0.05,same-theta Brent root,8.757749399595742,23.493992335460003,23.493992335461108,1.106833029149304e-12,3.153519966671077e-12,2.2396975923540536e-13,2.2396975923540536e-13,3.158816857445538e-14,3.9731035613147654,0.10880587336741687,0.6357203019268711,0.4041403022804211,-1.571076602147059e-12,3,2
5.0,1.3,2.0,2,0.1,same-theta Brent root,10.525530801133392,24.307269782050316,24.30726978204908,1.237235771089308e-12,2.2359299410688523e-12,1.6869754132170483e-13,1.6869754132170483e-13,3.399978787362977e-14,4.235981332519618,0.3716836445722693,1.2158375593623632,1.478260970758404,2.176037128265307e-12,3,2
5.0,1.3,2.0,3,0.15000000000000002,same-theta Brent root,12.293312202671045,25.40924655053194,25.40924655053167,2.7034714792439894e-13,3.9597905784220783e-13,3.1366496919179524e-14,3.1366496919179524e-14,6.995330596537093e-15,4.602760694996578,0.7384630070492291,1.791052654563483,3.207869611419488,5.88418203051333e-13,3,2
5.0,1.3,2.0,4,0.2,same-theta Brent root,14.061093604208693,26.710568539587687,26.710568539587005,6.838192565146561e-13,8.794233694246623e-13,7.190214780768174e-14,7.190214780768174e-14,1.6728479297767058e-14,5.050891678744482,1.1865939907971335,2.3845946885824922,5.686291828817614,1.780797731498751e-12,3,2
5.0,1.3,2.0,5,0.25,same-theta Brent root,15.828875005746346,28.16179986165605,28.16179986165606,1.2722218725854067e-14,1.5902773407317584e-14,1.2695946901444096e-15,1.2695946901444096e-15,1.924347350268684e-16,5.568728694790975,1.7044310068436266,3.008395337022627,9.05044250381945,-3.375077994860476e-14,3,2
5.0,1.3,2.0,6,0.30000000000000004,same-theta Brent root,17.596656407283998,29.733286694965624,29.733286694965763,1.3994440598439473e-13,1.5902773407317584e-13,1.3710902844426085e-14,1.3710902844426085e-14,3.080573506887429e-15,6.149488064931201,2.285190376983852,3.6689768507687575,13.461391131476484,-5.453415496958769e-13,3,2
5.0,1.3,2.0,7,0.35000000000000003,same-theta Brent root,19.36443780882165,31.40636996203458,31.406369962034702,1.2086107789561363e-13,1.176805232141501e-13,1.0085407810504635e-14,1.0085407810504635e-14,2.2491321746486713e-15,6.788748114887297,2.9244504269399485,4.369962274243629,19.096570278312043,-5.044853423896711e-13,3,2
5.0,1.3,2.0,8,0.4,same-theta Brent root,21.132219210359295,33.169192647801474,33.169192647801346,1.2722218725854067e-13,1.2722218725854067e-13,1.086577540776985e-14,1.086577540776985e-14,2.5712187634131134e-15,7.4833220183290665,3.619024330381718,5.113296012190373,26.14579610828261,6.359357485052897e-13,3,2
5.0,1.3,2.0,9,0.45,same-theta Brent root,22.90000061189695,35.0145942930082,35.01459429300822,2.5444437451708134e-14,2.5444437451708134e-14,2.040919258670006e-15,2.040919258670006e-15,2.9585381676165574e-16,8.230732689488084,4.366435001540736,5.899916659899924,34.80901659376457,-1.0658141036401503e-13,3,2
5.0,1.3,2.0,10,0.5,same-theta Brent root,24.667782013434596,36.93907064172111,36.93907064172109,1.90833280887811e-14,1.5902773407317584e-14,1.4131546446417402e-15,1.4131546446417402e-15,3.6595464199343806e-16,9.028985291550612,5.164687603603263,6.730183838547347,45.29537450064399,7.815970093361102e-14,3,2
5.0,1.3,2.0,11,0.55,same-theta Brent root,26.43556341497225,38.94236859027728,38.942368590277276,6.3611093629270335e-15,6.3611093629270335e-15,6.094859336272324e-16,6.094859336272324e-16,1.4446851933649026e-16,9.876512204112407,6.012214516165058,7.604201060513708,57.823873768717846,4.973799150320701e-14,3,2
5.0,1.3,2.0,12,0.6000000000000001,same-theta Brent root,28.2033448165099,41.02756424153267,41.02756424153264,3.81666561775622e-14,2.8624992133171654e-14,2.4397828783852718e-15,2.4397828783852718e-15,5.450499283097371e-16,10.772247163112077,6.907949475164728,8.522118589603624,72.62650525526793,2.7000623958883807e-13,3,2
5.0,1.3,2.0,13,0.65,same-theta Brent root,29.97112621804755,43.2016497528437,43.20164975284369,1.2722218725854067e-14,1.90833280887811e-14,1.5565023883030108e-15,1.5565023883030108e-15,3.3107581799721934e-16,11.715836927218056,7.851539239270708,9.484489339759989,89.95553803602101,1.4210854715202004e-13,3,2
5.0,1.3,2.0,14,0.7000000000000001,same-theta Brent root,31.738907619585202,45.47685022395728,45.476850223957264,1.2722218725854067e-14,6.3611093629270335e-15,6.4065969359066e-16,6.4065969359066e-16,3.310174757329013e-16,12.70805555344275,8.843757865495402,10.492777771391502,110.09838535980776,1.4210854715202004e-13,3,2
5.0,1.3,2.0,15,0.75,same-theta Brent root,33.506689021122845,47.87325006505972,47.87325006505978,5.724998426634331e-14,1.90833280887811e-14,1.4402410057187068e-15,1.4402410057187068e-15,5.795381477887656e-16,13.75159105645869,9.88729336851134,11.55021163631206,133.4073888435988,2.8421709430404007e-13,3,2
5.0,1.3,2.0,16,0.8,same-theta Brent root,35.2744704226605,50.424192915838425,50.42419291583839,3.81666561775622e-14,0.0,3.9753618415832347e-16,3.9753618415832347e-16,1.2313482800320284e-16,14.852634768347052,10.988337080399702,12.663419913342917,160.36220390165,5.684341886080802e-14,3,2
5.0,1.3,2.0,17,0.8500000000000001,same-theta Brent root,37.04225182419815,53.18862020314016,53.18862020314016,0.0,0.0,0.0,0.0,1.6067120545593452e-16,16.024504580427333,12.160206892479984,13.84609988440197,191.71448200883617,-5.684341886080802e-14,3,2
5.0,1.3,2.0,18,0.9,same-theta Brent root,38.8100332257358,56.2851337779145,56.285133777914524,1.90833280887811e-14,0.0,0.0,0.0,1.2917635163132225e-16,17.2977023792707,13.43340469132335,15.129135801479325,228.8907500996034,-8.526512829121202e-14,3,2
5.0,1.3,2.0,19,0.9500000000000001,same-theta Brent root,40.577814627273455,60.026501504177645,60.02650150417766,1.2722218725854067e-14,6.3611093629270335e-15,1.8087844175668351e-16,1.8087844175668351e-16,2.615881376264801e-17,18.760011576679496,14.895713888732146,16.600875385011648,275.58906354868554,-5.684341886080802e-14,3,2
5.0,1.3,2.0,20,1.0,detachment endpoint,42.3455960288111,67.77091969389949,67.77091957634337,1.1755609991501127e-07,1.90833280887811e-14,6.902181487435196e-16,6.902181487435196e-16,1.3621822122650982e-16,21.422026093365798,17.557728405418448,19.276372597398534,371.57854051373687,-2.2737367544323206e-13,2,1
5.0,1.3,5.0,0,0.0,CJ endpoint,10.731637475954475,32.37575071864986,32.37575071864986,0.0,0.0,0.0,1.155280664241666e-08,1.5115034706736508e-16,7.16818701892688,8.881784197001252e-16,-1.7763568394002505e-15,1.4210854715202004e-14,1.4210854715202e-14,1,1
5.0,1.3,5.0,1,0.05,same-theta Brent root,12.105564706255876,32.544502360278805,32.54450236027853,2.7352770260586246e-13,9.096386388985659e-13,4.862560234697962e-14,4.862560234697962e-14,4.350559675618995e-15,7.234876614592811,0.06668959566593191,0.6878862150228233,0.47318744481907515,6.492584248007915e-13,3,2
