M,gamma,Q,theta_index,xi,theta_deg,root_index,t,beta_deg,u,u_cj,R,D,D_minus_R2,cubic_rel_residual,geometry_ok,cj_ok,high_compression_ok,accepted
7.0,1.4,2.0,10,0.5,23.591791401683732,1,0.6641565131574669,33.590383614936655,14.998287226145102,4.521701453968774,12.442422835477071,154.81388601680203,7.389644451905042e-13,4.766104022315942e-16,True,True,True,True
7.0,1.4,2.0,10,0.5,23.591791401683732,2,8.805646732508862,83.5210482998779,48.3761094300458,4.521701453968774,45.95440117588123,2111.806987433835,4.547473508864641e-13,4.9066269457281627e-17,True,True,True,True
7.0,1.4,2.0,11,0.55,25.397946939630188,0,-0.03214617898356087,-1.84120633792037,0.05058319283978712,4.521701453968774,-0.8732982319512803,0.7626498019291625,-6.961098364399732e-14,9.470279028013995e-15,False,False,False,False
7.0,1.4,2.0,11,0.55,25.397946939630188,1,0.7211378238312176,35.79679909345629,16.764001140961827,4.521701453968774,14.2310390239046,202.52247169989334,-2.2453150450019166e-12,1.5761617226219617e-15,True,True,True,True
7.0,1.4,2.0,11,0.55,25.397946939630188,2,7.989780731443739,82.86596429228055,48.24425397198824,4.521701453968774,45.82240103662012,2099.692436760845,0.0,1.322508315955199e-16,True,True,True,True
7.0,1.4,2.0,12,0.6000000000000001,27.20410247757664,0,-0.030062487450246422,-1.721935042779842,0.04424391885200907,4.521701453968774,-0.8900083919830644,0.7921149378001402,-1.397770788003072e-13,1.8682961614603938e-14,False,False,False,False
7.0,1.4,2.0,12,0.6000000000000001,27.20410247757664,1,0.7835521356557726,38.080550237756064,18.639778122830688,4.521701453968774,16.125617000822515,260.0355236572177,1.5916157281026244e-12,9.347325460237244e-16,True,True,True,True
7.0,1.4,2.0,12,0.6000000000000001,27.20410247757664,2,7.262924765119079,82.16048816766447,48.08837338445947,4.521701453968774,45.66634832749742,2085.4153695683253,-9.094947017729282e-13,7.021284980714486e-17,True,True,True,True
7.0,1.4,2.0,13,0.65,29.01025801552309,0,-0.028155978460117748,-1.6127926385259714,0.038814426538539865,4.521701453968774,-0.9041102142734061,0.8174152795532981,-2.0616841567289157e-13,2.7227879234884456e-14,False,False,False,False
7.0,1.4,2.0,13,0.65,29.01025801552309,1,0.8525619232250734,40.44964655383309,20.624828885835687,4.521701453968774,18.12630545832797,328.56294956861007,-2.8421709430404007e-13,1.822254085267422e-16,True,True,True,True
7.0,1.4,2.0,13,0.65,29.01025801552309,2,6.60622092166873,81.39234338754535,47.90238273337841,4.521701453968774,45.48015076303277,2068.444113428189,-9.094947017729282e-13,1.4244785398587552e-16,True,True,True,True
7.0,1.4,2.0,14,0.7000000000000001,30.81641355346955,0,-0.026405330533647575,-1.5125625211204548,0.03414102800805062,4.521701453968774,-0.9161002080782514,0.8392395912409778,-3.774758283725532e-14,5.118310961759615e-15,False,False,False,False
7.0,1.4,2.0,14,0.7000000000000001,30.81641355346955,1,0.9298306082064021,42.91762052962481,22.72069331658816,4.521701453968774,20.235337956140146,409.46890219920726,1.1937117960769683e-12,3.973988457222289e-16,True,True,True,True
7.0,1.4,2.0,14,0.7000000000000001,30.81641355346955,2,6.004450515445776,80.54456459876985,47.677585170936645,4.521701453968774,45.2551008434382,2048.024152349761,4.547473508864641e-13,3.597119086606854e-17,True,True,True,True
7.0,1.4,2.0,15,0.75,32.62256909141599,0,-0.024791880312249326,-1.4201791907117867,0.030098729338808246,4.521701453968774,-0.9263649173369162,0.8581519600723204,-3.1108449149996886e-13,4.041388967501436e-14,False,False,False,False
7.0,1.4,2.0,15,0.75,32.62256909141599,1,1.0178308577143833,45.50628936395829,24.93296186349596,4.521701453968774,22.458831470485663,504.39911101967743,2.2737367544323206e-13,2.0366788614560543e-16,True,True,True,True
7.0,1.4,2.0,15,0.75,32.62256909141599,2,5.444580120422413,79.5925423745992,47.40096347825486,4.521701453968774,44.97816515216799,2023.0353404556995,6.821210263296962e-13,1.7107663834271546e-17,True,True,True,True
7.0,1.4,2.0,16,0.8,34.42872462936245,0,-0.023299382273535674,-1.334714782859705,0.02658576712026631,4.521701453968774,-0.9352081626723661,0.8746143075286814,-3.412825577697731e-13,4.4136751752497914e-14,False,False,False,False
7.0,1.4,2.0,16,0.8,34.42872462936245,1,1.1204626435312064,48.2514557211311,27.274715680229,4.521701453968774,24.810280839884847,615.5500353539579,7.958078640513122e-13,1.073811131019978e-16,True,True,True,True
