gamma,Q,M,M_over_Mcj,c2,n_sonic,n_sonic_high,theta_cj_deg,theta_max_deg,beta_max_deg,theta_s_deg,beta_s_deg,u_s,R_s,order_ok,weak_ok
1.2,1.0,2.2739785161413284,1.5,-8.730347900493564,1,1,8.195502440002526,27.359517234625027,66.59110945553851,27.18106740850823,64.28228079049133,4.197272979641496,2.67292991327404,True,True
1.2,1.0,3.0319713548551044,2.0,-18.382840711988553,1,1,6.775445932090199,38.25847456404611,67.71492710033924,38.19543981622751,66.40761346467237,7.72032242067449,6.284995120336921,True,True
1.2,1.0,4.547957032282657,3.0,-45.961391601974256,1,1,4.74823829715984,47.54225020977883,70.05099592853281,47.53094364778206,69.5369301751764,18.155870309182824,16.763340394208427,True,True
1.2,1.0,7.579928387137761,5.0,-134.21275444992844,1,1,2.91025444847447,53.03108065041925,71.91109337735361,53.029776414665356,71.74659262937516,51.81854889989719,50.443281446571106,True,True
1.2,1.0,12.127885419420418,8.0,-349.32545139181684,1,1,1.831233882300237,55.07646840350672,72.6834060161266,55.076279755616206,72.62242733218757,133.96525603908552,132.5953171336664,True,True
1.2,1.0,22.739785161413284,15.0,-1237.354790049356,1,1,0.9796041675428515,56.04932276898394,73.06470004542975,56.049307917207855,73.04781008927193,473.1366660612389,471.7690796893928,True,True
1.2,2.0,1.7754625529021453,1.0005,-2.605441464218728,1,1,0.8136673608943684,0.8153179283813698,88.19218608759294,0.8152224052281758,88.19063935263101,3.1491247160377043,0.004560142049421678,True,True
1.2,2.0,1.77634984053478,1.001,-2.613005014323052,1,1,1.149101571192558,1.1537631856287334,87.44903180797995,1.1534944019842612,87.44468933193971,3.1491466816915348,0.009110046367516667,True,True
1.2,2.0,1.7923210179222058,1.01,-2.749795115085661,1,1,3.545033819490612,3.6886429979680235,82.23430926866423,3.680884587858081,82.11350519889093,3.1519348946396515,0.08936411637944808,True,True
1.2,2.0,1.8633040285329863,1.05,-3.3725645665934136,1,1,7.144747675214704,8.586582364389612,74.87963484227957,8.526708129197521,74.04317029914505,3.2095054223383683,0.4178990211917757,True,True
1.2,2.0,1.9520327917964617,1.1,-4.1850368485968525,1,1,8.97764720670585,12.59420549500058,71.26594143332287,12.48213158010442,69.79416089398941,3.355859273165849,0.7925566105868684,True,True
1.2,2.0,2.1294903183234126,1.2,-5.923349637999559,1,1,10.321994486598669,18.622609968198187,68.3020309130159,18.470048180720507,66.3185044603424,3.8031667908941245,1.509889432241187,True,True
1.2,2.0,2.661862897904266,1.5,-12.045233809374308,1,1,10.136910796813577,30.322770007963957,66.90321443816052,30.22098199981268,65.20656867734262,5.839506939967266,3.8543763754169937,True,True
1.2,2.0,3.549150530539021,2.0,-25.271526772220994,1,1,8.284911791812991,40.504963726098175,68.22420381504281,40.47143024567353,67.29035288776073,10.719049099951375,8.873479779320153,True,True
1.2,2.0,5.323725795808532,3.0,-63.06093523749723,1,1,5.765505103663027,48.78695535447659,70.45098497359123,48.781041715327426,70.08440432021126,25.05345583426645,23.277106113391383,True,True
1.2,2.0,8.872876326347553,5.0,-183.98704232638121,1,1,3.5221822333182486,53.54303236409071,72.10130759423922,53.54234540159489,71.98272118231809,71.19612445896679,69.44836143869004,True,True
